"","GEOID","NAME","variable","estimate","moe"
"1","17031010100","Census Tract 101, Cook County, Illinois","B01001_001",4522,529
"2","17031010100","Census Tract 101, Cook County, Illinois","B02001_002",2118,439
"3","17031010100","Census Tract 101, Cook County, Illinois","B17007_002",570,139
"4","17031010100","Census Tract 101, Cook County, Illinois","B19013_001",37985,10569
"5","17031010100","Census Tract 101, Cook County, Illinois","B23006_023",1404,340
"6","17031010201","Census Tract 102.01, Cook County, Illinois","B01001_001",7039,804
"7","17031010201","Census Tract 102.01, Cook County, Illinois","B02001_002",3392,841
"8","17031010201","Census Tract 102.01, Cook County, Illinois","B17007_002",590,286
"9","17031010201","Census Tract 102.01, Cook County, Illinois","B19013_001",39549,14169
"10","17031010201","Census Tract 102.01, Cook County, Illinois","B23006_023",1401,266
"11","17031010202","Census Tract 102.02, Cook County, Illinois","B01001_001",2852,291
"12","17031010202","Census Tract 102.02, Cook County, Illinois","B02001_002",1265,229
"13","17031010202","Census Tract 102.02, Cook County, Illinois","B17007_002",257,89
"14","17031010202","Census Tract 102.02, Cook County, Illinois","B19013_001",38370,8966
"15","17031010202","Census Tract 102.02, Cook County, Illinois","B23006_023",619,129
"16","17031010300","Census Tract 103, Cook County, Illinois","B01001_001",6650,514
"17","17031010300","Census Tract 103, Cook County, Illinois","B02001_002",3921,525
"18","17031010300","Census Tract 103, Cook County, Illinois","B17007_002",553,183
"19","17031010300","Census Tract 103, Cook County, Illinois","B19013_001",38866,4386
"20","17031010300","Census Tract 103, Cook County, Illinois","B23006_023",1692,338
"21","17031010400","Census Tract 104, Cook County, Illinois","B01001_001",5153,609
"22","17031010400","Census Tract 104, Cook County, Illinois","B02001_002",3654,472
"23","17031010400","Census Tract 104, Cook County, Illinois","B17007_002",538,202
"24","17031010400","Census Tract 104, Cook County, Illinois","B19013_001",39152,6316
"25","17031010400","Census Tract 104, Cook County, Illinois","B23006_023",1471,292
"26","17031010501","Census Tract 105.01, Cook County, Illinois","B01001_001",4147,368
"27","17031010501","Census Tract 105.01, Cook County, Illinois","B02001_002",2116,257
"28","17031010501","Census Tract 105.01, Cook County, Illinois","B17007_002",527,212
"29","17031010501","Census Tract 105.01, Cook County, Illinois","B19013_001",34455,6452
"30","17031010501","Census Tract 105.01, Cook County, Illinois","B23006_023",1609,265
"31","17031010502","Census Tract 105.02, Cook County, Illinois","B01001_001",2802,331
"32","17031010502","Census Tract 105.02, Cook County, Illinois","B02001_002",1522,177
"33","17031010502","Census Tract 105.02, Cook County, Illinois","B17007_002",511,186
"34","17031010502","Census Tract 105.02, Cook County, Illinois","B19013_001",37500,6486
"35","17031010502","Census Tract 105.02, Cook County, Illinois","B23006_023",980,151
"36","17031010503","Census Tract 105.03, Cook County, Illinois","B01001_001",1713,280
"37","17031010503","Census Tract 105.03, Cook County, Illinois","B02001_002",1170,279
"38","17031010503","Census Tract 105.03, Cook County, Illinois","B17007_002",635,201
"39","17031010503","Census Tract 105.03, Cook County, Illinois","B19013_001",20357,4784
"40","17031010503","Census Tract 105.03, Cook County, Illinois","B23006_023",316,89
"41","17031010600","Census Tract 106, Cook County, Illinois","B01001_001",6271,623
"42","17031010600","Census Tract 106, Cook County, Illinois","B02001_002",4186,597
"43","17031010600","Census Tract 106, Cook County, Illinois","B17007_002",1109,458
"44","17031010600","Census Tract 106, Cook County, Illinois","B19013_001",47549,9256
"45","17031010600","Census Tract 106, Cook County, Illinois","B23006_023",2111,327
"46","17031010701","Census Tract 107.01, Cook County, Illinois","B01001_001",3766,355
"47","17031010701","Census Tract 107.01, Cook County, Illinois","B02001_002",2293,432
"48","17031010701","Census Tract 107.01, Cook County, Illinois","B17007_002",196,94
"49","17031010701","Census Tract 107.01, Cook County, Illinois","B19013_001",55529,10522
"50","17031010701","Census Tract 107.01, Cook County, Illinois","B23006_023",1020,156
"51","17031010702","Census Tract 107.02, Cook County, Illinois","B01001_001",5096,553
"52","17031010702","Census Tract 107.02, Cook County, Illinois","B02001_002",2937,498
"53","17031010702","Census Tract 107.02, Cook County, Illinois","B17007_002",412,103
"54","17031010702","Census Tract 107.02, Cook County, Illinois","B19013_001",41161,2666
"55","17031010702","Census Tract 107.02, Cook County, Illinois","B23006_023",1357,178
